Date,RUT
2023-06-16,1875.47
2023-06-15,1889.28
2023-06-14,1874.1
2023-06-13,1896.33
2023-06-12,1873.21
2023-06-09,1865.71
2023-06-08,1880.78
2023-06-07,1888.45
2023-06-06,1855.4
2023-06-05,1806.71
2023-06-02,1830.91
2023-06-01,1767.94
2023-05-31,1749.65
2023-05-30,1767.29
2023-05-26,1773.02
2023-05-25,1754.61
2023-05-24,1767.0
2023-05-23,1787.72
2023-05-22,1795.38
