Date,platinum
2023-07-27,945.0
2023-07-26,972.0
2023-07-25,976.6
2023-07-24,969.5
2023-07-23,969.95
2023-07-21,972.2
2023-07-20,964.1
2023-07-19,984.8
2023-07-18,994.4
2023-07-17,987.5
2023-07-16,977.9
2023-07-14,984.3
2023-07-13,983.4
2023-07-12,956.6
2023-07-11,932.4
2023-07-10,934.8
2023-07-09,919.95
2023-07-07,918.5
2023-07-06,909.7
2023-07-05,925.0
2023-07-04,926.4
2023-07-03,916.0
2023-07-02,910.0
2023-06-30,913.2
2023-06-29,906.8
2023-06-28,924.7
2023-06-27,934.0
2023-06-26,932.9
2023-06-25,929.2
2023-06-23,923.7
2023-06-22,926.5
2023-06-21,949.0
2023-06-20,968.0
2023-06-19,979.9
2023-06-18,985.2
2023-06-16,987.3
2023-06-15,991.9
2023-06-14,980.0
2023-06-13,981.9
2023-06-12,995.3
2023-06-11,1011.75
2023-06-09,1012.8
2023-06-08,1013.9
2023-06-07,1024.6
2023-06-06,1038.7
2023-06-05,1036.4
2023-06-04,1009.25
2023-06-02,1003.5
2023-06-01,1010.1
2023-05-31,999.0
2023-05-30,1021.9
2023-05-29,1033.1
2023-05-28,1027.75
2023-05-26,1036.2
2023-05-25,1034.4
2023-05-24,1037.6
2023-05-23,1065.7
2023-05-22,1085.4
2023-05-21,1074.1
2023-05-19,1083.8
2023-05-18,1066.3
2023-05-17,1090.7
2023-05-16,1075.0
2023-05-15,1082.8
2023-05-14,1063.8
2023-05-12,1067.0
2023-05-11,1105.0
2023-05-10,1119.1
2023-05-09,1116.0
2023-05-08,1087.7
2023-05-07,1066.8
2023-05-05,1068.3
2023-05-04,1053.55
2023-05-03,1061.8
2023-05-02,1078.3
2023-05-01,1064.7
2023-04-30,1081.45
2023-04-28,1090.1
2023-04-27,1093.2
2023-04-26,1106.0
2023-04-25,1098.2
2023-04-24,1097.7
2023-04-23,1135.25
2023-04-21,1138.7
2023-04-20,1107.6
2023-04-19,1105.7
2023-04-18,1097.3
2023-04-17,1059.6
2023-04-16,1053.9
2023-04-14,1054.0
2023-04-13,1065.5
2023-04-12,1027.5
2023-04-11,1005.1
2023-04-10,1002.9
2023-04-09,1016.75
2023-04-06,1016.8
2023-04-05,1007.4
2023-04-04,1029.0
2023-04-03,996.4
2023-04-02,992.4
2023-03-31,1003.1
2023-03-30,1002.4
2023-03-29,985.5
2023-03-28,971.9
2023-03-27,982.5
2023-03-26,990.65
2023-03-24,983.9
2023-03-23,992.9
2023-03-22,987.0
2023-03-21,976.7
2023-03-20,996.8
2023-03-19,980.0
2023-03-17,978.6
2023-03-16,977.1
2023-03-15,970.3
2023-03-14,997.3
2023-03-13,1004.9
2023-03-12,966.65
2023-03-10,962.2
2023-03-09,949.3
2023-03-08,940.6
2023-03-07,936.3
2023-03-06,978.6
2023-03-05,977.7
2023-03-03,979.4
