Date,DXY
2023-09-20,105.2
2023-09-19,105.2
2023-09-18,105.2
2023-09-15,105.32
2023-09-14,105.41
2023-09-13,104.77
2023-09-12,104.71
2023-09-11,104.57
2023-09-08,105.09
2023-09-07,105.06
2023-09-06,104.86
2023-09-05,104.81
2023-09-04,104.11
2023-09-01,104.24
2023-08-31,103.62
2023-08-30,103.16
2023-08-29,103.53
2023-08-28,104.06
2023-08-25,103.98
2023-08-24,103.98
2023-08-23,103.56
2023-08-22,103.3
2023-08-21,103.3
2023-08-18,103.57
2023-08-17,103.57
2023-08-16,103.43
2023-08-15,103.21
2023-08-14,103.19
2023-08-11,102.84
2023-08-10,102.52
2023-08-09,102.49
2023-08-08,102.53
2023-08-07,102.05
2023-08-04,102.02
2023-08-03,102.54
2023-08-02,102.59
2023-08-01,102.3
2023-07-31,101.86
2023-07-28,101.62
2023-07-27,101.77
2023-07-26,100.89
2023-07-25,101.35
2023-07-24,101.35
2023-07-21,101.07
2023-07-20,100.88
2023-07-19,100.28
2023-07-18,99.94
2023-07-17,99.84
2023-07-14,99.91
2023-07-13,99.77
2023-07-12,100.52
2023-07-11,101.73
2023-07-10,101.97
2023-07-07,102.27
2023-07-06,103.17
2023-07-05,103.37
2023-07-04,103.04
2023-07-03,102.99
2023-06-30,102.91
2023-06-29,103.34
2023-06-28,102.91
2023-06-27,102.49
2023-06-26,102.69
2023-06-23,102.9
2023-06-22,102.39
2023-06-21,102.07
2023-06-20,102.54
2023-06-19,102.52
2023-06-16,102.24
2023-06-15,102.12
2023-06-14,102.95
2023-06-13,103.34
2023-06-12,103.65
2023-06-09,103.56
2023-06-08,103.34
2023-06-07,104.1
2023-06-06,104.13
2023-06-05,104.0
2023-06-02,104.02
2023-06-01,103.56
2023-05-31,104.33
2023-05-30,104.17
2023-05-29,104.21
2023-05-26,104.21
2023-05-25,104.25
2023-05-24,103.89
2023-05-23,103.49
2023-05-22,103.2
