Date,NASDAQ
2023-06-16,13689.57
2023-06-15,13782.82
2023-06-14,13626.48
2023-06-13,13573.32
2023-06-12,13461.92
2023-06-09,13259.14
2023-06-08,13238.52
2023-06-07,13104.89
2023-06-06,13276.42
2023-06-05,13229.43
2023-06-02,13240.77
2023-06-01,13100.98
2023-05-31,12935.29
2023-05-30,13017.43
2023-05-26,12975.69
2023-05-25,12698.09
2023-05-24,12484.16
2023-05-23,12560.25
2023-05-22,12720.78
